S.No.,Job Title,Job Description
1,Machine Learning Engineer,Python Kubernetes HTML Machine Learning Agile React Leadership AWS
2,Software Engineer,Machine Learning Kubernetes HTML React TensorFlow Project Management Leadership UI/UX
3,Cloud Engineer,Cloud Computing Java Project Management Agile Communication Docker
4,UI/UX Designer,Data Analysis Python React Docker Cloud Computing Agile Project Management TensorFlow Java HTML
5,Data Scientist,Machine Learning TensorFlow React SQL Cloud Computing Java Data Analysis Kubernetes
6,Frontend Developer,Docker Communication Cloud Computing SQL Data Analysis Leadership React
7,DevOps Engineer,Docker Java Machine Learning React SQL
8,Product Manager,Python Java Kubernetes UI/UX Leadership C++ AWS TensorFlow HTML
9,Cloud Engineer,Java AWS Kubernetes CSS SQL Machine Learning
10,Full Stack Developer,Project Management React SQL Cloud Computing Agile
11,Product Manager,HTML Data Analysis Agile C++ Docker
12,Project Manager,Communication Machine Learning Leadership TensorFlow Python
13,Software Engineer,Kubernetes Agile Java Docker TensorFlow
14,Software Engineer,JavaScript TensorFlow CSS Machine Learning Docker
15,UI/UX Designer,JavaScript Java UI/UX Communication Project Management CSS TensorFlow
16,Frontend Developer,Project Management CSS Agile HTML JavaScript SQL Python
17,Data Scientist,Agile Machine Learning SQL Cloud Computing JavaScript Python CSS UI/UX
18,Project Manager,HTML Leadership SQL TensorFlow Cloud Computing Docker Kubernetes JavaScript
19,Data Scientist,AWS React C++ Kubernetes Python
20,Cloud Engineer,TensorFlow Cloud Computing Docker SQL Python CSS UI/UX Communication Leadership HTML
21,Frontend Developer,Communication CSS Agile HTML Machine Learning Project Management Cloud Computing
22,Full Stack Developer,Cloud Computing Data Analysis Docker SQL Java
23,Full Stack Developer,UI/UX C++ Cloud Computing Leadership Project Management JavaScript Machine Learning CSS Kubernetes SQL
24,Project Manager,React JavaScript AWS Cloud Computing Java Agile
25,Machine Learning Engineer,React JavaScript Agile HTML SQL Kubernetes Machine Learning UI/UX
26,Product Manager,HTML React TensorFlow Project Management Cloud Computing SQL JavaScript Python Leadership
27,DevOps Engineer,C++ AWS Agile Cloud Computing Java React Project Management JavaScript Docker
28,UI/UX Designer,Machine Learning JavaScript Docker UI/UX AWS
29,DevOps Engineer,Docker Kubernetes Machine Learning React UI/UX Python JavaScript CSS Cloud Computing C++
30,Data Analyst,Communication SQL UI/UX Java Agile Leadership Docker JavaScript React Python
31,UI/UX Designer,Machine Learning Cloud Computing Java Data Analysis Project Management CSS
32,UI/UX Designer,React Project Management Kubernetes Cloud Computing TensorFlow Java Python C++ HTML UI/UX
33,Data Scientist,Java CSS JavaScript Machine Learning Leadership
34,Data Analyst,Communication C++ Docker Java Leadership Machine Learning TensorFlow SQL Kubernetes React
35,Cloud Engineer,JavaScript Project Management Data Analysis Machine Learning Kubernetes UI/UX AWS CSS
36,Product Manager,AWS Agile Data Analysis SQL Docker HTML
37,Full Stack Developer,Leadership SQL UI/UX CSS Project Management Cloud Computing Agile AWS Communication
38,Cloud Engineer,Communication Docker React TensorFlow JavaScript AWS Machine Learning Agile UI/UX
39,UI/UX Designer,Docker CSS SQL UI/UX Data Analysis Machine Learning React
40,Backend Developer,TensorFlow AWS CSS Java Kubernetes Agile
41,Frontend Developer,Docker Project Management Python Kubernetes SQL Communication
42,Software Engineer,SQL JavaScript UI/UX Data Analysis Cloud Computing Java Agile
43,Machine Learning Engineer,AWS TensorFlow JavaScript Communication C++
44,Software Engineer,Agile HTML Docker SQL TensorFlow Python UI/UX Java React
45,Software Engineer,TensorFlow UI/UX Communication Cloud Computing Python
46,Project Manager,Kubernetes Cloud Computing UI/UX Communication Data Analysis Project Management SQL JavaScript CSS
47,Product Manager,Java CSS JavaScript Docker Leadership
48,Product Manager,C++ Kubernetes JavaScript Java Machine Learning UI/UX
49,Data Scientist,Communication Agile Kubernetes C++ Java SQL HTML AWS
50,Project Manager,C++ JavaScript CSS HTML SQL
51,Software Engineer,Leadership JavaScript CSS Python SQL Machine Learning React C++ Docker Communication
52,Frontend Developer,Agile Cloud Computing Project Management SQL TensorFlow Machine Learning
